"","x"
"1","ENPP4"
"2","GGCT"
"3","PLEKHG6"
"4","VTA1"
"5","IDS"
"6","ABHD5"
"7","MAN2B2"
"8","PGM3"
"9","RWDD2A"
"10","ATP2C1"
"11","IGF1"
"12","RNH1"
"13","RFC1"
"14","STAU2"
"15","FAM65C"
"16","JADE2"
"17","GPM6B"
"18","PTGER3"
"19","MPHOSPH9"
"20","PCGF2"
"21","MON2"
"22","PKN2"
"23","NTN1"
"24","PYGM"
"25","PTPN3"
"26","SPTB"
"27","ST6GALNAC1"
"28","ANO8"
"29","CAPN6"
"30","NAALAD2"
"31","FBLN1"
"32","RAPGEF3"
"33","CRYBG3"
"34","AACS"
"35","APOB"
"36","GMCL1"
"37","SF3B2"
"38","PTPN4"
"39","CPXM1"
"40","EPB41L4B"
"41","ITPR3"
"42","SCD"
"43","TSPAN15"
"44","APOL4"
"45","REC8"
"46","TBL1X"
"47","PGRMC1"
"48","SRPX"
"49","NDRG4"
"50","IKBKB"
"51","ARHGEF10"
"52","CCNE1"
"53","GLCCI1"
"54","LHX6"
"55","CASC3"
"56","SEPT4"
"57","MMD"
"58","GAB1"
"59","CPE"
"60","BST1"
"61","SC5D"
"62","C11orf63"
"63","TRIM3"
"64","BMP5"
"65","SMOC2"
"66","ENPP5"
"67","FGF1"
"68","NR3C1"
"69","RBP1"
"70","CISH"
"71","MAPKAPK3"
"72","HDLBP"
"73","HPCAL1"
"74","CEBPZ"
"75","ORC2"
"76","ATF2"
"77","AAK1"
"78","SCP2"
"79","LEPR"
"80","KIF21B"
"81","RRAGC"
"82","LPHN2"
"83","PHF3"
"84","PLAGL1"
"85","KLHL29"
"86","TMEM214"
"87","YPEL5"
"88","SOCS2"
"89","EPHX2"
"90","RDH10"
"91","KIAA0922"
"92","FMOD"
"93","CDKN2C"
"94","ACVR1C"
"95","CHPF"
"96","MSTO1"
"97","XRCC3"
"98","COX7C"
"99","ABHD8"
"100","GNAI1"
"101","SGCE"
"102","CASD1"
"103","KLHDC10"
"104","OPN1SW"
"105","PDE11A"
"106","MCCC2"
"107","ITGB4"
"108","MATN2"
"109","LPIN1"
"110","ANO3"
"111","FADS2"
"112","NREP"
"113","MICAL1"
"114","SEMA4F"
"115","SLC19A3"
"116","LHCGR"
"117","PLCE1"
"118","STAT4"
"119","AGPAT9"
"120","ENPEP"
"121","KIF21A"
"122","TAPBPL"
"123","ESYT1"
"124","RTN1"
"125","TSPAN3"
"126","NCOR1"
"127","TOM1L1"
"128","AKT1"
"129","EPHA2"
"130","SRP9"
"131","GALNT13"
"132","COL8A1"
"133","PHLDB2"
"134","SFRP2"
"135","FBXL17"
"136","HMGCLL1"
"137","PHIP"
"138","IGFBP3"
"139","DIAPH2"
"140","GPC3"
"141","WHSC1L1"
"142","CDKN2B"
"143","TCF7L2"
"144","SESN3"
"145","FADS1"
"146","SIDT2"
"147","SAV1"
"148","HSPB8"
"149","IGSF10"
"150","MBNL1"
"151","GPR180"
"152","C10orf90"
"153","PDLIM3"
"154","GRIP1"
"155","RWDD2B"
"156","MAPK13"
"157","BAG4"
"158","NMNAT2"
"159","CPA2"
"160","CBR3"
"161","FCN2"
"162","SQSTM1"
"163","PLCD3"
"164","PDZK1IP1"
"165","AK4"
"166","RBP7"
"167","VCAM1"
"168","LMOD1"
"169","SERPINI1"
"170","EGFLAM"
"171","KCNK5"
"172","ABCA1"
"173","ALDH1A1"
"174","TTC8"
"175","VSTM4"
"176","STOX1"
"177","RET"
"178","COPS2"
"179","CYB5A"
"180","CENPV"
"181","SMAD3"
"182","CD320"
"183","SLC3A2"
"184","COL3A1"
"185","AXIN2"
"186","NDUFS5"
"187","NMD3"
"188","UGP2"
"189","FAM161A"
"190","MINA"
"191","GSTA4"
"192","NUDT6"
"193","PDGFD"
"194","ALK"
"195","PTEN"
"196","CALB2"
"197","CERS6"
"198","RCAN2"
"199","RAD9A"
"200","RHOD"
"201","SNCG"
"202","GPR64"
"203","CADM2"
"204","LPL"
"205","NAALADL2"
"206","PDE4DIP"
"207","LYNX1"
"208","IDH2"
"209","KCNA4"
"210","TTC3"
"211","PAPPA"
"212","CADM1"
"213","SPNS2"
"214","GAS6"
"215","LIN9"
"216","TBX1"
"217","SLIT3"
"218","IFITM2"
"219","GAS2L1"
"220","RASA3"
"221","MARC1"
"222","PRR5"
"223","PLCD1"
"224","NAP1L1"
"225","CHP1"
"226","THSD4"
"227","C6orf132"
"228","NHS"
"229","TMC3"
"230","APOD"
"231","PLAC9"
"232","MAP3K5"
"233","SIPA1L1"
"234","MAP1LC3C"
"235","GFPT1"
"236","MAFK"
"237","STK39"
"238","EGFL6"
"239","DZIP3"
"240","BMPR2"
"241","TRIQK"
"242","LGR4"
"243","LINC00998"
"244","CEBPZ-AS1"
"245","APOL6"
"246","DIRC3"
"247","KIAA0040"
"248","AC015987.2"
"249","PEG10"
"250","STON1"
"251","RP11-644F5.10"
"252","RP11-407P15.2"
"253","UBBP4"
"254","LCN6"
