"","Diet","Treatment","Time","Body.Weight.mean","Body.Weight.se","Lean.Mass.mean","Lean.Mass.se","Total.Fat.Mass.mean","Total.Fat.Mass.se","Percent.Fat.Mass.mean","Percent.Fat.Mass.se"
"1","Normal Chow Diet","Dexamethasone",-3,29.4,0.549379815626841,25.7216666666667,0.607558244287756,2.89,0.230624974336863,9.88012381280636,0.800997712914112
"2","Normal Chow Diet","Dexamethasone",3,27.2083333333333,0.458498592796052,23.6975,0.462336170819984,2.56833333333333,0.162069164684138,9.43870301668557,0.578842724639648
"3","Normal Chow Diet","Dexamethasone",10,27.05,0.571481328733415,23.3408333333333,0.564695490928294,2.9475,0.241262854893817,10.9024210109998,0.863051657089622
"4","Normal Chow Diet","Dexamethasone",17,26.875,0.660018939122204,22.995,0.565371291250004,3.22166666666667,0.32335324837138,11.8798233630507,1.09772530741527
"5","Normal Chow Diet","Dexamethasone",24,26.425,0.639853794853073,22.4425,0.550648550127553,3.07583333333333,0.29404302492161,11.5544017984086,1.01003168144911
"6","Normal Chow Diet","Dexamethasone",31,26.6166666666667,0.65410514090132,22.5825,0.512664053565473,3.2025,0.275560379458428,11.9463860119929,0.924374601043828
"7","Normal Chow Diet","Dexamethasone",38,26.0166666666667,0.587216512304646,22.2525,0.517804404688828,3.0525,0.261982896156959,11.6678659553541,0.901089908095484
"8","Normal Chow Diet","Water",-3,30.02,0.812513247755246,26.952,0.810631852322619,2.331,0.153271364289325,7.82933739870215,0.587819710734142
"9","Normal Chow Diet","Water",3,29.375,0.674550916828329,26.4941666666667,0.648871349173145,1.99166666666667,0.127895751424053,6.79452273618183,0.43484180202279
"10","Normal Chow Diet","Water",10,29.9333333333333,0.637743813546766,26.9266666666667,0.686881769780335,2.255,0.175829204317454,7.59946352278807,0.648997014176315
"11","Normal Chow Diet","Water",17,30.45,0.668274576121903,27.1475,0.723291220321344,2.5825,0.250530119764253,8.53383309265432,0.853342259264993
"12","Normal Chow Diet","Water",24,30.2416666666667,0.713023686687741,26.8483333333333,0.737272649428934,2.56583333333333,0.209456216345222,8.5473542886113,0.736926856721651
"13","Normal Chow Diet","Water",31,30.6583333333333,0.69461765516627,26.8741666666667,0.730949422382157,2.76666666666667,0.266939254619034,9.08396136696078,0.913517619856902
"14","Normal Chow Diet","Water",38,30.5583333333333,0.671549354369085,27.145,0.739711757949328,2.77666666666667,0.22226224387085,9.18836147442236,0.834809793061212
"15","High Fat Diet","Dexamethasone",-3,38.075,1.23895881263016,24.6566666666667,0.475299480285426,12.5525,1.0910414297886,32.4023886916885,1.97604708880364
"16","High Fat Diet","Dexamethasone",0,39.4833333333333,1.24406672658745,25.0933333333333,0.512563866431996,14.73,1.48497984885828,36.8198191314924,3.26781132651662
"17","High Fat Diet","Dexamethasone",3,36.5333333333333,1.03743078143201,24.2891666666667,0.459199663336202,11.4191666666667,0.894395392813977,30.8562106223881,1.76604766262798
"18","High Fat Diet","Dexamethasone",10,35.3808333333333,0.796770430354233,23.5391666666667,0.370111486752658,11.0691666666667,0.650511987560257,31.0599061578117,1.27876585529518
"19","High Fat Diet","Dexamethasone",17,35.4458333333333,0.69659394103514,22.4433333333333,0.361738925891382,11.9066666666667,0.573234223287022,33.4486565941344,1.10070727280406
"20","High Fat Diet","Dexamethasone",24,33.1416666666667,0.48233308202963,21.025,0.354367768217589,11.0591666666667,0.492415903192791,33.283233076453,1.18001107563514
"21","High Fat Diet","Dexamethasone",31,31.2,0.580490910324785,20.325,0.397502620536435,9.59416666666667,0.288705203355333,30.7250262135371,0.626343666895017
"22","High Fat Diet","Dexamethasone",38,30.2,1.07548438699345,20.2266666666667,0.597063182958424,8.88333333333333,0.582647215541084,29.2760806846131,1.09974065608228
"23","High Fat Diet","Water",-3,38.1333333333333,1.23124311001508,25.2675,0.578355983749969,12.1908333333333,1.09511757936135,31.4656935785123,2.07989317709289
"24","High Fat Diet","Water",0,39.55,1.21377822346489,25.6733333333333,0.598312441603697,13.875,1.4682733107809,34.4897108764224,2.8770226289189
"25","High Fat Diet","Water",3,36.1666666666667,1.06432033607264,24.7025,0.496063481091611,10.6016666666667,0.931303935459322,28.9143571465696,1.91091022405827
"26","High Fat Diet","Water",10,36.5233333333333,1.04589553720602,25.865,0.508983687301857,9.95833333333333,0.989966967105265,26.8112112993748,2.03701710233946
"27","High Fat Diet","Water",17,38.1,1.10446751190268,25.5583333333333,0.576478117713084,11.6341666666667,1.04565005034083,30.0871619685668,2.06345215995558
"28","High Fat Diet","Water",24,39.5083333333333,1.15170876562093,25.9733333333333,0.558744986193129,12.6941666666667,1.03475839540865,31.7083386431372,1.94220060922259
"29","High Fat Diet","Water",31,39.9916666666667,1.11786175307589,25.97,0.558344414182219,13.3566666666667,1.09629149887475,32.9506698366834,2.03116699579032
"30","High Fat Diet","Water",38,41.1909090909091,1.16130448168151,26.3236363636364,0.466490324809096,14.14,1.14756897198144,33.8729019392114,1.98790152872153
