"","shapiro.Control","shapiro.Dex","levene.test","test"
"0",0.270596004455263,0.805047118198394,0.757859179482027,"Student's T-Test"
"1",0.356664889333537,0.230082854543193,0.94267925017219,"Student's T-Test"
"2",0.098170083281732,0.465821243024405,0.835404112398379,"Student's T-Test"
"3",0.204536908265486,0.739097604730013,0.633358357386284,"Student's T-Test"
"4",0.752409155936749,0.801442971936272,0.720881270539875,"Student's T-Test"
"5",0.999999999999993,0.356446568986506,0.475048687095393,"Student's T-Test"
"6",0.407211630755779,0.154241980311065,0.68978458458812,"Student's T-Test"
"7",0.178976663692319,0.504779017837413,0.932229226460086,"Student's T-Test"
"8",0.744252877111602,0.122349881079806,0.949759866616377,"Student's T-Test"
"9",0.999999999999993,0.829454357223031,0.515435079674704,"Student's T-Test"
"10",0.388963899778162,0.555936986842923,0.832766619235084,"Student's T-Test"
"11",NA,NA,NA,NA
